7-Eleven (เซเว่น อีเลฟเว่น),7-Eleven
Aeropuerto de Madrid Barajas Adolfo Suárez,Madrid Airport Barajas Adolfo Suárez
All Seasons Place (ออล ซีซั่นส์ เพลส),All Seasons Place
Aristotelous Square (Πλατεία Αριστοτέλους),Aristotelous Square
Asiatique The Riverfront (เอเชียทีค เดอะ ริเวอร์ฟร้อนท์),Asiatique The Riverfront
Bakırköy Kaymakamlığı,Bakirkoy District Governorate
Bangkok Bank (ธนาคารกรุงเทพ),Bangkok Bank
Bangkok University (มหาวิทยาลัยกรุงเทพ),Bangkok University
"Bergen Lufthavn, Flesland (BGO) (Bergen Lufthavn, Flesland)","Bergen Airport, Flesland"
Bhiraj Tower at Sathon (ภิรัชทาวเวอร์ แอท สาทร),Bhiraj Tower at Sathon
Bonjour Resto - Beefsteak Hai Bà Trưng,Bonjour Resto - Beefsteak Hai Ba Trung
BTS Saphan Taksin (S6) (BTS สะพานตากสิน),BTS Saphan Taksin
Burger King (เบอร์เกอร์ คิง),Burger King
Café de Turin,Cafe de Turin
Central Salaya (เซ็นทรัล ศาลายา),Central Salaya
Chamchuri Square (จัตุรัสจามจุรี),Chamchuri Square
Chiang Mai Gate Market (ตลาดประตูเชียงใหม่),Chiang Mai Gate Market
Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),Chiang Mai International Airport
Chiap Hong Seng (เจี๊ยบฮงเส็ง),Chiap Hong Seng
Chulalongkorn University (จุฬาลงกรณ์มหาวิทยาลัย),Chulalongkorn University
Citéa,Citea
Copenhagen Airport (CPH) (Københavns Lufthavn),Copenhagen Airport
Cung Thiếu Nhi Hà Nội,Ha Noi children park
Daejeon Convention Center (대전컨벤션센터),Daejeon Convention Center
Đôi Dép Cafe,Doi Dep Cafe
EmQuartier (เอ็มควอเทียร์),Emquartier
Faculty of Engineering (คณะวิศวกรรมศาสตร์),Faculty of Engineering
Flughafen Frankfurt (FRA) (Frankfurt Airport),Frankfurt Airport
Flughafen München (MUC),Munich Airport
Future Park (ฟิวเจอร์พาร์ค),Future Park
Gwangjang Market (광장시장),Gwangjang Market
